,title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,time_signature
40,What I've Done,['Linkin Park'],spotify:track:4JErskWxmILvav6U2PkTbn,0.623,0.93,5,-5.285,1,0.0324,0.0141,1.64e-06,0.138,0.287,120.119,4JErskWxmILvav6U2PkTbn,spotify:track:4JErskWxmILvav6U2PkTbn,205613,4
41,Naive,['The Kooks'],spotify:track:7BHPGtpuuWWsvE7cCaMuEU,0.391,0.808,8,-6.209,0,0.0892,0.0759,0.0,0.149,0.737,100.304,7BHPGtpuuWWsvE7cCaMuEU,spotify:track:7BHPGtpuuWWsvE7cCaMuEU,203507,4
42,Don't Stop Me Now,['Queen'],spotify:track:2RknY4IqSPwagR0v5wchIW,0.566,0.876,0,-4.6,1,0.187,0.0175,0.0114,0.677,0.642,156.291,2RknY4IqSPwagR0v5wchIW,spotify:track:2RknY4IqSPwagR0v5wchIW,209447,4
43,Kryptonite,['3 Doors Down'],spotify:track:5ZPp1V3PufN6qhAe3rLNmb,0.544,0.878,11,-5.145,0,0.0288,0.00657,1.43e-05,0.17,0.527,99.024,5ZPp1V3PufN6qhAe3rLNmb,spotify:track:5ZPp1V3PufN6qhAe3rLNmb,233827,4
44,Knockin' On Heaven's Door,"[""Guns N' Roses""]",spotify:track:2C4aYxNpoPkmoZ3ZdPeuOB,0.496,0.739,6,-7.193,1,0.0415,0.0211,0.00444,0.106,0.378,132.41,2C4aYxNpoPkmoZ3ZdPeuOB,spotify:track:2C4aYxNpoPkmoZ3ZdPeuOB,336000,4
45,Another Day In Paradise,['Phil Collins'],spotify:track:3wNXqTMimmuTEj1iEPftC7,0.792,0.411,5,-12.384,0,0.033,0.786,0.00212,0.0499,0.41,101.976,3wNXqTMimmuTEj1iEPftC7,spotify:track:3wNXqTMimmuTEj1iEPftC7,322173,4
46,Bitter Sweet Symphony,['The Verve'],spotify:track:1WYEDcS7WGjv0rG7rmMX3o,0.356,0.913,9,-6.015,1,0.0499,0.0339,0.0,0.221,0.537,171.157,1WYEDcS7WGjv0rG7rmMX3o,spotify:track:1WYEDcS7WGjv0rG7rmMX3o,359547,4
47,Wherever You Will Go,['The Calling'],spotify:track:2n6FX3Jcg4b4Leoz0GOqBF,0.555,0.717,2,-5.114,1,0.0269,0.0414,0.0,0.116,0.374,112.03,2n6FX3Jcg4b4Leoz0GOqBF,spotify:track:2n6FX3Jcg4b4Leoz0GOqBF,208507,4
48,Crazy,['Gnarls Barkley'],spotify:track:1vxw6aYJls2oq3gW0DujAo,0.855,0.587,8,-4.589,1,0.0336,0.0505,0.00714,0.105,0.64,111.97,1vxw6aYJls2oq3gW0DujAo,spotify:track:1vxw6aYJls2oq3gW0DujAo,177466,4
49,Unfaithful,['Rihanna'],spotify:track:3husjxyCMBvNeiTEcrpPSe,0.588,0.391,0,-8.596,0,0.0334,0.839,0.0,0.195,0.349,144.053,3husjxyCMBvNeiTEcrpPSe,spotify:track:3husjxyCMBvNeiTEcrpPSe,224630,4
